ninsee,transport_autoroute,transport_départementale,transport_nationale,transport_autres_routes,transport_total_général
77031,0,13619.103716163903,3459.092770557884,3337.5425073879933,20415.738994109783
77032,0,13901.959561853257,4510.214209172785,2928.1432289407812,21340.31699996682
77033,0,2953.214102200123,0,67.2481973449187,3020.4622995450413
77034,1615.28516476316,7864.030142844016,0,558.552369428265,10037.86767703544
77035,0,15230.993896017038,0,0,15230.993896017038
77036,0,3428.544673800063,339.0065117810471,203.241490353672,3970.792675934782
77037,0,6775.1657350650885,0,7532.240726576944,14307.406461642033
77038,0,2282.9942176295417,0,0,2282.9942176295417
77039,0,4792.614293311495,0,2514.185959781831,7306.800253093326
77040,0,5615.074047153257,0,2278.1384629468835,7893.212510100141
77041,0,7672.563277803664,0,7027.592946263948,14700.15622406761
77042,0,11043.68941758488,0,108.226258765472,11151.915676350352
77043,0,6256.7752031844775,0,0,6256.7752031844775
77044,0,7882.362195092224,0,4665.559420257448,12547.921615349673
77045,0,11454.50025632302,0,3984.149609785818,15438.64986610884
77046,0,3716.5327937531015,0,3308.6329801559705,7025.1657739090715
77047,2483.896345210562,8622.195847878724,0,0,11106.092193089286
77048,0,7657.176337537348,0,3357.636292913356,11014.812630450704
77049,3555.31879223785,7442.546482949009,0,3382.2789669276344,14380.144242114491
77050,0,7710.100992063153,0,951.2876690657381,8661.388661128893
77051,0,1525.4379907569942,0,1236.9342197806386,2762.372210537633
77052,0,2484.4842209574585,0,0,2484.4842209574585
77053,0,16432.61395614918,3696.3819666997974,4212.864118820764,24341.860041669745
77054,0,6148.699710557913,0,3246.1155448017253,9394.815255359637
77055,0,2912.4881659239945,0,50.7726109270661,2963.2607768510607
77056,0,5372.252801394592,0,0,5372.252801394592
77057,0,7565.596691247472,0,0,7565.596691247472
77058,4426.253273782678,10824.14190604012,0,5151.33139402106,20401.726573843855
77059,960.2600957544614,1846.7918161713592,0,1173.1214534695807,3980.1733653954016
77060,0,11119.664016092183,0,2702.15053297458,13821.814549066765
77061,0,8846.598073919318,0,246.672302935503,9093.27037685482
77062,0,1522.7825994481125,0,0,1522.7825994481125
77063,0,3287.9695945868452,0,1391.7592472404149,4679.72884182726
77065,1988.8740379145531,7143.042295318441,1448.1637433599908,0,10580.080076592983
77066,0,8089.9510498887585,4767.179478194516,904.4125527407368,13761.543080824013
77067,0,5106.773217510172,0,4590.2730588641625,9697.046276374334
77068,0,6410.580603352928,0,0,6410.580603352928
77069,0,11419.476710290704,0,0,11419.476710290704
77070,0,10599.367249948844,0,4607.400911016968,15206.768160965812
77071,7994.403128015096,12175.268618835617,0,0,20169.671746850712
77072,0,11756.68574059852,0,2571.925196236848,14328.610936835368
77073,0,3132.70226184999,0,3633.5729190611696,6766.27518091116
77075,0,4168.275932242683,0,1479.7777654643803,5648.053697707063
77076,0,4815.669673141889,0,1850.5674145251012,6666.23708766699
77077,0,8041.244856036194,0,1037.42881810044,9078.673674136631
77078,1155.0111334711,13126.188729832544,0,150.506062587984,14431.705925891629
77079,0,6428.127485026188,0,2039.478916681546,8467.606401707733
77080,0,8463.828637177003,0,0,8463.828637177003
77081,0,2937.353897286241,0,0,2937.353897286241
77082,0,8439.262936041683,0,324.803447436503,8764.066383478186
77083,953.4701768715452,7273.729444208554,0,9003.93638971568,17231.13601079578
77084,0,3645.7136892044623,0,0,3645.7136892044623
77085,0,5745.940147119532,0,0,5745.940147119532
77086,1533.17836404988,9646.838589841962,0,1966.595799350799,13146.61275324264
77087,0,4646.003352740993,0,0,4646.003352740993
77088,1371.97793969465,14114.178264259572,0,0,15486.156203954222
77089,0,19865.704636679013,0,0,19865.704636679013
77090,0,4917.668779059871,0,1865.155391165169,6782.82417022504
77091,0,6578.561769296466,1156.75651994667,0,7735.318289243136
77093,0,14026.57488209411,0,3552.429635822,17579.00451791611
77094,0,3156.477113962064,2291.8136573071965,3851.4185620758,9299.709333345061
77095,0,9791.849551770365,0,1279.4827714308203,11071.332323201184
77096,0,11975.247828174928,0,0,11975.247828174928
77097,0,5414.124875087306,0,0,5414.124875087306
77098,0,2747.414191565063,0,733.886381083237,3481.3005726483007
77099,1551.57770427979,31782.434379585084,0,1217.3777345928029,34551.389818457676
77100,2267.72599703883,16359.53439132023,0,1917.6283743825556,20544.888762741615
77101,0,8819.867542700847,0,0,8819.867542700847
77102,0,4248.764415054057,0,0,4248.764415054057
77103,518.638289936664,9999.94433727377,0,549.0486056095601,11067.631232819993
77104,0,6296.436462085861,3508.002536299489,3161.244664078056,12965.683662463409
77106,0,5294.802211568515,0,208.141771319008,5502.943982887523
77107,0,17055.265623974738,3522.061687886639,3991.25601840002,24568.583330261397
77108,0,17092.70946955262,0,12597.407711388532,29690.117180941153
77109,0,27125.315317253204,0,3752.2313698452617,30877.546687098467
77110,0,5989.3226522552695,0,4238.692658378482,10228.015310633751
77111,0,2650.0408840292857,0,7389.423140275955,10039.464024305242
77112,0,7579.496203574888,0,0,7579.496203574888
77113,0,6944.323720970489,0,3109.733175722145,10054.056896692637
77114,0,13661.737762735012,2036.393944848307,887.6804207458996,16585.812128329217
77115,0,12834.121030384966,0,2744.0467874365568,15578.167817821522
77116,0,18108.937492966197,0,3573.445464044473,21682.382957010668
77117,0,3473.222551721662,0,0,3473.222551721662
77118,0,8701.895275443925,6120.7208798020065,3459.5980008900806,18282.21415613601
77119,0,2129.6160127971852,0,2499.47065618814,4629.086668985325
77120,0,6331.689902639307,0,2794.2235237439436,9125.913426383247
77121,2589.9603166559027,3219.8798237340666,0,1969.3533937277116,7779.193534117681
77122,141.92335854297,10694.852138850209,5754.191806783204,7144.677028804534,23735.644332980915
77123,0,5645.2892471280875,1494.5540451570157,2360.26434104924,9500.107633334343
77124,0,1047.47723245952,0,1430.5053872854255,2477.9826197449456
77125,0,3235.191252715585,0,2275.5649733099335,5510.756226025518
77126,0,12276.925391864565,0,2525.992078526176,14802.91747039074
77127,0,6943.645711932631,0,1379.1376989769492,8322.78341090958
77128,1785.652218141925,6181.2737317953415,0,0,7966.925949937267
77129,0,19533.131002659455,0,567.9252068783454,20101.0562095378
77130,1145.73071216001,3824.5260812379024,0,0,4970.256793397913
77131,0,9233.38994632296,0,6483.240761586139,15716.6307079091
77132,0,10486.055072174311,0,5284.895488624093,15770.950560798408
77133,0,6707.139678990626,0,2015.354260411034,8722.49393940166
